shopify_id,handle,name,slug,sku,brand,type,shopify_type,category,category_source,description_source,short_description,currency,regular_price,sale_price,available,options,variants_count,variant_skus,variant_prices,images_count,featured_image,tags,description_length,anomalies,source_file
8740340596991,bp10-battery,Buture Ersatzakku für BP10 Vakuum,bp10-battery,,Buture Official,variable,Zubehör,Staubsaugerzubehör,jsonld,full,Verbessern Sie die Reinigungsmöglichkeiten Ihres BP10 Akku-Staubsauger mit diesem Akkuaufsatz. Keine Unterbrechungen mehr während der Reinigung!,USD,129.99,69.99,True,Packungen,3,BP10DC1; BP10DC2; BP10DC1HP3,69.99; 89.99; 80.99,3,https://ibuture.com/cdn/shop/files/9_0541ab7b-e847-492f-8294-b1af6beeb7dd.jpg?v=1775202456,Accessories,39,,site/de/products/bp10-battery/index.html
8759284793599,bp10-hepa-filter,Buture HEPA-Filter für BP10 Vakuum,bp10-hepa-filter,,Buture Official,variable,Zubehör,Staubsaugerzubehör,jsonld,full,Steigern Sie die Leistung Ihres Buture BP10 Staubsauger mit diesen hochwertigen HEPA-Filtern. Halten Sie Ihr Zuhause sauber und allergenfrei.,USD,49.99,29.99,True,Packungen,4,BP10HP3; BP10HP6; BP10HP9; BP10DC1HP3,29.99; 49.99; 69.99; 80.99,3,https://ibuture.com/cdn/shop/files/3_6774a859-5b70-46fc-bd43-ac83e21b8e39.jpg?v=1742802789,Accessories,176,,site/de/products/bp10-hepa-filter/index.html
8774421512447,bp10-roller-brush,Buture Walzenbürste für BP10 Vakuum,bp10-roller-brush,,Buture Official,variable,Zubehör,Staubsaugerzubehör,jsonld,full,Verbessern Sie die Reinigungseffizienz mit dem BP10 Staubbecheraufsatz für Akku-Staubsauger. Ein Muss für die einfache Staubentfernung.,USD,39.99,20.99,True,Material | Packungen,4,BP10GSY1; BP10GSY2; BP10GSR1; BP10GSR2,20.99; 36.99; 20.99; 35.99,2,https://ibuture.com/cdn/shop/files/8_d5d6c50c-2160-4af7-a4cc-d4f119b5851a.jpg?v=1742802774,Accessories,336,,site/de/products/bp10-roller-brush/index.html
8917822603519,bp20-cordless-vacuum-cleaner,Buture BP20 ZeroTangle Haustier-Akku-Staubsauger | 600W 55KPA,bp20-cordless-vacuum-cleaner,BP20,Buture Official,simple,Staubsauger,Staubsauger,jsonld,full,"Erleben Sie kraftvolle Reinigung mit dem Buture BP20 Akku-Staubsauger. Ultimative Saugkraft, selbststehendes Design, intelligente Funktionen und vielseitige Reinigungsmodi.",USD,379.99,179.99,True,,1,BP20,179.99,10,https://ibuture.com/cdn/shop/files/Buture_BP20_Vacuum_Cleaner.jpg?v=1744257758,Cordless Vaccum,3866,,site/de/products/bp20-cordless-vacuum-cleaner/index.html
8935829045503,bp20-vacuum-2-in-1-brush,Buture 2-in-1-Bürste für BP20 Vakuum,bp20-vacuum-2-in-1-brush,BP20EH,Buture Official,simple,Zubehör,Staubsaugerzubehör,jsonld,meta_fallback,Erleben Sie eine nahtlose Reinigung mit dem Buture BP20 Akku-Staubsauger. Der 2-in-1-Bürstenaufsatz macht das Aufräumen zum Kinderspiel.,USD,29.99,18.99,True,,1,BP20EH,18.99,2,https://ibuture.com/cdn/shop/files/2_1_3eb77384-11c0-4f8c-942d-3ffa66dea986-187299.jpg?v=1742802599,Accessories,136,,site/de/products/bp20-vacuum-2-in-1-brush/index.html
8935827538175,bp20-vacuum-battery,Buture Ersatzakku für BP20 Vakuum,bp20-vacuum-battery,,Buture Official,variable,Zubehör,Staubsaugerzubehör,jsonld,meta_fallback,"Erleben Sie eine problemlose Reinigung mit dem Buture BP20 Staubsauger, angetrieben von einem langlebigen Akku für kontinuierliche Saugleistung.",USD,149.99,69.99,True,Packungen,3,BP20DC1; BP20DC2; BP20DC1HP3,69.99; 89.99; 80.99,3,https://ibuture.com/cdn/shop/files/1_65a4e908-0412-4c4c-add8-b0fda324870a-185350.jpg?v=1775202145,Accessories,144,,site/de/products/bp20-vacuum-battery/index.html
8935829930239,bp20-vacuum-crevice-nozzle,Buture Fugendüse für BP20 Vakuum,bp20-vacuum-crevice-nozzle,BP20CBX,Buture Official,simple,Zubehör,Staubsaugerzubehör,jsonld,meta_fallback,Reinigen Sie enge Räume mühelos mit dem BP20 Fugendüsenaufsatz für Akku-Staubsauger. Rüsten Sie jetzt Ihr Reinigungsspiel auf!,USD,39.99,19.99,True,,1,BP20CBX,19.99,2,https://ibuture.com/cdn/shop/files/2a6410117d02a3cf8180dd250a4fc284-415898.jpg?v=1742802595,Accessories,126,,site/de/products/bp20-vacuum-crevice-nozzle/index.html
8935830257919,bp20-vacuum-dust-cup,Buture Staubbecher für BP20 Vakuum,bp20-vacuum-dust-cup,,Buture Official,variable,Zubehör,Staubsaugerzubehör,jsonld,meta_fallback,Halten Sie Ihr Zuhause sauber und staubfrei Buture BP20 Praktische Staubbecherfunktion zum Staubsaugen. Einfache und effiziente Reinigung per Knopfdruck.,USD,49.99,22.99,True,Packs,3,BP20CB1; BP20BXG1CB1; BP20ZJ1CB1,22.99; 40.99; 80.99,4,https://ibuture.com/cdn/shop/files/9c8727a0f1a1c1bc27701a53504fb0a4.jpg?v=1742802591,Accessories,153,,site/de/products/bp20-vacuum-dust-cup/index.html
8935829864703,bp20-vacuum-floor-brush,Buture Bodenbürste für BP20 Vakuum,bp20-vacuum-floor-brush,,Buture Official,variable,Zubehör,Staubsaugerzubehör,jsonld,meta_fallback,Verbessern Sie Ihr Reinigungserlebnis mit dem BP20 Akku-Staubsauger. Für eine mühelose und effiziente Reinigung lässt sich die Bodenbürste einfach anbringen.,USD,69.99,36.99,True,Packungen,3,BP20DS1; BP20DS2; BP20DS1GS1,36.99; 59.99; 55.99,3,https://ibuture.com/cdn/shop/files/34ee73f065ccb5d43a4751c960e8908c_4d5e7cd1-3503-492d-a1f5-4b26c3dbe75a-929178.jpg?v=1774000127,Accessories,157,,site/de/products/bp20-vacuum-floor-brush/index.html
8935830388991,bp20-vacuum-hepa-filter,Buture HEPA-Filter für BP20 Vakuum,bp20-vacuum-hepa-filter,,Buture Official,variable,Zubehör,Staubsaugerzubehör,jsonld,full,Halten Sie Ihr Zuhause frei von Staub und Allergenen Buture BP20 Staubsauger mit leistungsstarkem HEPA-Filter für maximale Luftreinigung.,USD,58.99,29.99,True,Packungen,4,BP20HP3; BP20HP6; BP20HP9; BP20DC1HP3,29.99; 49.99; 69.99; 80.99,5,https://ibuture.com/cdn/shop/files/3_b64b493d-41c4-4ab4-b6c2-ad8d4575bf14.jpg?v=1742802589,Accessories,125,,site/de/products/bp20-vacuum-hepa-filter/index.html
